City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
9,Sungurlu,TR,75.38,clear sky,40.1675,34.3739,Sungurlu Ogretmenevi
10,Kabo,CF,80.49,scattered clouds,7.6994,18.629,
11,Hithadhoo,MV,82.85,overcast clouds,-0.6,73.0833,Scoop Guest House
12,Mogadishu,SO,76.6,light rain,2.0371,45.3438,Hotel Juba
17,Auchi,NG,79.5,light rain,7.0667,6.2667,LECKY PLACE & HOTEL
21,Albany,US,82.02,scattered clouds,42.6001,-73.9662,
28,Carlsbad,US,85.35,few clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
29,Tevaitoa,PF,78.44,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
33,Lazaro Cardenas,MX,85.44,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
34,Coahuayana,MX,89.73,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
42,Oranjestad,AW,85.95,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
45,Jiujiang,CN,80.2,clear sky,29.7333,115.9833,Tianhai Fashion Theme Hotel
46,Billings,US,77.5,scattered clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
47,Bethel,US,81.52,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
58,Port-Gentil,GA,75.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
59,Kapaa,US,75.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
65,Atuona,PF,77.5,scattered clouds,-9.8,-139.0333,Villa Enata
67,Pochutla,MX,82.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
71,Itarema,BR,83.8,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
72,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
74,Vaitape,PF,78.13,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
78,Gigmoto,PH,80.17,light rain,13.7796,124.39,Cj's Travellers Inn
79,Jinchang,CN,76.75,broken clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
85,Baherden,TM,83.14,clear sky,38.4362,57.4316,
91,Tautira,PF,78.06,few clouds,-17.7333,-149.15,Pension Oaoa
92,Butaritari,KI,81.55,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
98,Taixing,CN,80.35,scattered clouds,32.1667,120.0136,7Days Inn Taixing Drum Tower South Road
103,Shache,CN,87.87,overcast clouds,38.4167,77.2406,Delong Hotel
104,Kaveripattinam,IN,75.04,moderate rain,12.4207,78.2166,PR mahal
