City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Clyde River,CA,70.4692,-68.5914,43.03,70,100,9.22,light rain
1,Berdigestyakh,RU,62.0989,126.6992,54.48,94,60,8.34,light rain
2,Tiksi,RU,71.6872,128.8694,38.75,92,82,15.39,broken clouds
3,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,51,0,13.8,clear sky
4,Ostrovnoy,RU,68.0531,39.5131,62.38,63,91,8.39,overcast clouds
5,Bredasdorp,ZA,-34.5322,20.0403,53.11,88,50,4.63,scattered clouds
6,Chato,TZ,-2.6378,31.7669,72.75,45,9,2.17,clear sky
7,Barrow,US,71.2906,-156.7887,46.42,87,20,4.61,few clouds
8,Dikson,RU,73.5069,80.5464,37.08,88,100,9.91,light rain
9,Sungurlu,TR,40.1675,34.3739,75.38,45,1,7.52,clear sky
10,Kabo,CF,7.6994,18.629,80.49,71,43,0.38,scattered clouds
11,Hithadhoo,MV,-0.6,73.0833,82.85,76,100,5.66,overcast clouds
12,Mogadishu,SO,2.0371,45.3438,76.6,81,37,20.49,light rain
13,Provideniya,RU,64.3833,-173.3,52.02,82,94,3.71,overcast clouds
14,Morondava,MG,-20.2833,44.2833,73.62,79,0,15.1,clear sky
15,Ribeira Grande,PT,38.5167,-28.7,72.0,64,20,17.27,few clouds
16,Hobart,AU,-42.8794,147.3294,46.26,90,93,3.0,overcast clouds
17,Auchi,NG,7.0667,6.2667,79.5,83,95,6.2,light rain
18,Cape Town,ZA,-33.9258,18.4232,60.39,87,40,6.91,scattered clouds
19,Husavik,IS,66.0449,-17.3389,50.7,93,100,4.23,overcast clouds
20,Esperance,AU,-33.8667,121.9,56.14,74,100,15.21,overcast clouds
21,Albany,US,42.6001,-73.9662,82.02,53,40,1.99,scattered clouds
22,Ushuaia,AR,-54.8,-68.3,33.46,69,20,3.44,few clouds
23,New Norfolk,AU,-42.7826,147.0587,45.91,86,91,3.47,light rain
24,Qaanaaq,GL,77.484,-69.3632,43.38,65,40,1.63,scattered clouds
25,Rikitea,PF,-23.1203,-134.9692,73.94,78,86,22.35,light rain
26,Najran,SA,17.4924,44.1277,93.85,15,100,12.53,overcast clouds
27,Vaini,TO,-21.2,-175.2,69.96,78,20,6.91,few clouds
28,Carlsbad,US,33.1581,-117.3506,85.35,80,20,6.91,few clouds
29,Tevaitoa,PF,-16.7833,-151.5,78.44,70,9,8.59,clear sky
30,Alofi,NU,-19.0595,-169.9187,64.29,82,61,3.44,broken clouds
31,Maltahohe,NA,-24.8333,16.9833,63.23,20,0,5.82,clear sky
32,Mataura,NZ,-46.1927,168.8643,46.47,94,100,11.41,overcast clouds
33,Lazaro Cardenas,MX,17.9583,-102.2,85.44,65,99,1.86,overcast clouds
34,Coahuayana,MX,18.7333,-103.6833,89.73,56,87,2.71,overcast clouds
35,Zeya,RU,53.75,127.2667,60.3,78,53,2.91,broken clouds
36,Saint-Denis,FR,48.9167,2.3333,71.19,58,100,14.97,overcast clouds
37,Saskylakh,RU,71.9167,114.0833,42.15,46,19,8.75,few clouds
38,Richards Bay,ZA,-28.783,32.0377,65.82,84,0,4.34,clear sky
39,San Antonio,US,29.4241,-98.4936,94.06,54,20,9.22,few clouds
40,Sokoto,NG,13.0609,5.239,97.21,30,84,3.96,broken clouds
41,Tasiilaq,GL,65.6145,-37.6368,40.21,86,100,6.11,overcast clouds
42,Oranjestad,AW,12.524,-70.027,85.95,70,40,24.16,scattered clouds
43,Minot,US,48.2325,-101.2963,66.31,88,100,13.8,heavy intensity rain
44,Luanda,AO,-8.8368,13.2343,69.85,83,16,13.31,few clouds
45,Jiujiang,CN,29.7333,115.9833,80.2,90,9,4.43,clear sky
46,Billings,US,45.7833,-108.5007,77.5,59,25,1.01,scattered clouds
47,Bethel,US,41.3712,-73.414,81.52,63,67,3.0,broken clouds
48,Sooke,CA,48.3746,-123.7276,65.3,79,67,6.6,broken clouds
49,Carnarvon,AU,-24.8667,113.6333,66.52,25,0,7.58,clear sky
50,Gamba,GA,-2.65,10.0,72.21,83,84,9.73,broken clouds
51,Fairbanks,US,64.8378,-147.7164,63.3,83,75,5.75,smoke
52,Puerto Ayora,EC,-0.7393,-90.3518,73.36,88,91,5.99,overcast clouds
53,Punta Arenas,CL,-53.15,-70.9167,32.11,86,20,10.36,few clouds
54,Voh,NC,-20.9667,164.7,71.85,90,60,4.47,broken clouds
55,Chokurdakh,RU,70.6333,147.9167,50.45,69,95,6.6,overcast clouds
56,Giyon,ET,8.5333,37.9833,58.06,97,89,3.71,light rain
57,Lagoa,PT,39.05,-27.9833,66.18,78,99,13.42,overcast clouds
58,Port-Gentil,GA,-0.7193,8.7815,75.16,83,100,11.5,overcast clouds
59,Kapaa,US,22.0752,-159.319,75.18,94,100,1.99,overcast clouds
60,Waingapu,ID,-9.6567,120.2641,70.47,84,87,7.78,overcast clouds
61,Tuktoyaktuk,CA,69.4541,-133.0374,60.8,88,0,10.36,clear sky
62,Sobolevo,RU,54.4299,31.8996,62.24,84,98,3.89,overcast clouds
63,East London,ZA,-33.0153,27.9116,58.14,94,0,2.3,clear sky
64,Avarua,CK,-21.2078,-159.775,69.85,73,73,4.61,broken clouds
65,Atuona,PF,-9.8,-139.0333,77.5,75,31,22.7,scattered clouds
66,Port Alfred,ZA,-33.5906,26.891,62.1,64,26,2.28,scattered clouds
67,Pochutla,MX,15.7432,-96.4661,82.81,67,100,1.99,overcast clouds
68,Luderitz,NA,-26.6481,15.1594,59.86,62,0,11.59,clear sky
69,Turukhansk,RU,65.8167,87.9833,52.41,72,96,6.08,overcast clouds
70,Doha,QA,25.2867,51.5333,93.18,75,80,6.91,broken clouds
71,Itarema,BR,-2.9248,-39.9167,83.8,63,87,16.96,overcast clouds
72,Vila Velha,BR,-20.3297,-40.2925,82.35,70,20,12.66,few clouds
73,Vao,NC,-22.6667,167.4833,74.35,91,65,13.0,broken clouds
74,Vaitape,PF,-16.5167,-151.75,78.13,73,13,7.02,few clouds
75,Liverpool,GB,53.4106,-2.9779,67.42,75,75,14.97,broken clouds
76,Mahebourg,MU,-20.4081,57.7,70.09,68,75,16.11,broken clouds
77,Hermanus,ZA,-34.4187,19.2345,57.79,85,89,3.58,overcast clouds
78,Gigmoto,PH,13.7796,124.39,80.17,83,100,3.71,light rain
79,Jinchang,CN,38.4953,102.1739,76.75,23,54,2.44,broken clouds
80,Svetlyy,RU,54.675,20.1347,66.96,66,99,10.54,overcast clouds
81,Hilo,US,19.7297,-155.09,72.25,79,75,4.61,broken clouds
82,Port Elizabeth,ZA,-33.918,25.5701,56.1,100,0,6.91,clear sky
83,Yellowknife,CA,62.456,-114.3525,72.12,43,0,8.05,smoke
84,Asau,RO,46.4333,26.4,70.72,58,84,5.5,broken clouds
85,Baherden,TM,38.4362,57.4316,83.14,18,0,7.11,clear sky
86,Zhaoyuan,CN,37.3592,120.3964,73.81,70,0,4.18,clear sky
87,Upernavik,GL,72.7868,-56.1549,39.11,88,70,12.57,broken clouds
88,Nanortalik,GL,60.1432,-45.2371,45.05,88,70,4.99,broken clouds
89,Hasaki,JP,35.7333,140.8333,72.28,91,45,18.59,scattered clouds
90,Fortuna,US,40.5982,-124.1573,61.93,92,100,1.01,overcast clouds
91,Tautira,PF,-17.7333,-149.15,78.06,69,12,14.61,few clouds
92,Butaritari,KI,3.0707,172.7902,81.55,78,100,17.2,overcast clouds
93,Poplar Bluff,US,36.757,-90.3929,100.33,66,0,1.01,clear sky
94,Atar,MR,20.5169,-13.0499,110.34,11,14,15.79,few clouds
95,Fort Nelson,CA,58.8053,-122.7002,69.39,60,20,6.91,few clouds
96,Marsa,MT,35.8792,14.4953,92.21,43,0,8.05,clear sky
97,Prince George,CA,53.9166,-122.753,62.26,87,40,3.44,scattered clouds
98,Taixing,CN,32.1667,120.0136,80.35,89,31,5.73,scattered clouds
99,Kondinskoye,RU,59.6481,67.41,63.48,65,58,0.85,broken clouds
100,Vardo,NO,70.3705,31.1107,57.18,77,0,4.61,clear sky
101,Sechura,PE,-5.5569,-80.8222,73.24,58,0,7.65,clear sky
102,Marawi,PH,7.9986,124.2928,70.14,93,100,5.17,overcast clouds
103,Shache,CN,38.4167,77.2406,87.87,19,99,3.56,overcast clouds
104,Kaveripattinam,IN,12.4207,78.2166,75.04,76,99,14.74,moderate rain
105,Goiana,BR,-7.5606,-35.0025,75.72,86,93,11.99,overcast clouds
106,Ugoofaaru,MV,5.6667,73.0,82.76,79,100,14.41,moderate rain
107,Isangel,VU,-19.55,169.2667,74.77,90,100,3.71,overcast clouds
108,Canavieiras,BR,-15.675,-38.9472,78.76,79,80,2.04,broken clouds
109,Auki,SB,-8.7676,160.7034,76.62,88,95,4.36,overcast clouds
110,Castro,BR,-24.7911,-50.0119,71.04,47,57,9.19,broken clouds
111,Lakshettipet,IN,18.8667,79.2167,80.02,85,100,9.26,overcast clouds
112,Tuatapere,NZ,-46.1333,167.6833,40.14,93,100,5.99,overcast clouds
113,Sangar,RU,63.9242,127.4739,60.03,98,97,8.93,light rain
114,Tres Arroyos,AR,-38.3739,-60.2798,51.98,23,1,20.98,clear sky
115,Torbay,CA,47.6666,-52.7314,65.17,93,100,16.11,overcast clouds
116,Aksu,CN,41.1231,80.2644,84.69,29,68,10.78,broken clouds
117,Broome,US,42.2506,-75.833,79.81,63,58,3.0,broken clouds
118,Mayo,US,38.8876,-76.5119,80.13,82,96,5.01,overcast clouds
